index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
725,1997,college,Basketball (M),Arizona Wildcats,"Tucson, AZ",Kentucky Wildcats,"Lexington-Fayette, KY",North Carolina Tar Heels,"Greater Raleigh, NC",,
726,1997,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Old Dominion Monarchs,"Norfolk, VA",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA"
727,1997,pro,NBA,Chicago Bulls,"Chicago, IL",Utah Jazz,"Salt Lake City, UT",Houston Rockets,"Houston, TX",Miami Heat,"Greater Miami Area, FL"
728,1997,college,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Alabama Crimson Tide,"Tuscaloosa, AL",Miami Hurricanes,"Greater Miami Area, FL",Stanford Cardinal,"San Francisco Bay Area, CA"
729,1997,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Philadelphia Flyers,"Greater Philadelphia, PA",Colorado Avalanche,"Denver, CO",New York Rangers,New York Metro Area
730,1997,pro,MLS,D.C. United,"Washington, DC Metro Area",Colorado Rapids,"Denver, CO",Dallas Burn,"Dallas-Fort Worth, TX",Columbus Crew,"Columbus, OH"
731,1997,pro,MLB,Florida Marlins,"Greater Miami Area, FL",Cleveland Indians,"Cleveland, OH",Baltimore Orioles,"Baltimore, MD",Atlanta Braves,"Atlanta, GA"
732,1997,pro,CFL,Toronto Argonauts,"Toronto, ON",Saskatchewan Roughriders,"Regina, SK",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC"
733,1997,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Notre Dame Fighting Irish,"Notre Dame, IN",Santa Clara Broncos,"San Jose-Santa Clara, CA"
734,1997,college,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Penn State Nittany Lions,"State College, PA",Long Beach State 49ers,"Greater Los Angeles, CA",Florida Gators,"Gainesville, FL"
735,1998,college,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,
736,1998,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
737,1998,college,Football (M),Youngstown State Penguins,"Youngstown, OH",McNeese State Cowboys,"Lake Charles, LA",,,,
738,1998,pro,NFL,Denver Broncos,"Denver, CO",Green Bay Packers,"Green Bay, WI",Pittsburgh Steelers,"Pittsburgh, PA",San Francisco 49ers,"San Francisco Bay Area, CA"
739,1998,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Utah Utes,"Salt Lake City, UT",Stanford Cardinal,"San Francisco Bay Area, CA",North Carolina Tar Heels,"Greater Raleigh, NC"
740,1998,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Louisiana Tech Bulldogs,"Monroe, LA",Arkansas Razorbacks,"Northwest Arkansas, AR",North Carolina State Wolfpack,"Greater Raleigh, NC"
741,1998,pro,NBA,Chicago Bulls,"Chicago, IL",Utah Jazz,"Salt Lake City, UT",Indiana Pacers,"Indianapolis Metro Area, IN",Los Angeles Lakers,"Greater Los Angeles, CA"
742,1998,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",LSU Fighting Tigers,"Baton Rouge, LA",Long Beach State 49ers,"Greater Los Angeles, CA"
743,1998,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Washington Capitals,"Washington, DC Metro Area",Dallas Stars,"Dallas-Fort Worth, TX",Buffalo Sabres,"Buffalo, NY"
744,1998,pro,MLS,Chicago Fire,"Chicago, IL",D.C. United,"Washington, DC Metro Area",Los Angeles Galaxy,"Greater Los Angeles, CA",Columbus Crew,"Columbus, OH"
745,1998,pro,MLB,New York Yankees,New York Metro Area,San Diego Padres,"San Diego, CA",Cleveland Indians,"Cleveland, OH",Atlanta Braves,"Atlanta, GA"
746,1998,pro,CFL,Calgary Stampeders,"Calgary, AB",Hamilton Tiger-Cats,"Hamilton, ON",Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC"
747,1998,college,Soccer (W),Florida Gators,"Gainesville, FL",North Carolina Tar Heels,"Greater Raleigh, NC",Portland Pilots,"Portland Metro Area, OR",Santa Clara Broncos,"San Jose-Santa Clara, CA"
748,1998,college,Volleyball (W),Long Beach State 49ers,"Greater Los Angeles, CA",Penn State Nittany Lions,"State College, PA",Nebraska Cornhuskers,"Lincoln, NE",Florida Gators,"Gainesville, FL"
749,1999,college,Football (M),Tennessee Volunteers,"Knoxville, TN",,,,,,
750,1999,college,Football (M),Massachusetts Minutemen,"Springfield, MA",Georgia Southern Eagles,"Statesboro, GA",,,,
751,1999,pro,NFL,Denver Broncos,"Denver, CO",Atlanta Falcons,"Atlanta, GA",New York Jets,New York Metro Area,Minnesota Vikings,"Twin Cities, MN"
752,1999,college,Basketball (M),Connecticut Huskies,"Hartford, CT",Duke Blue Devils,"Greater Raleigh, NC",Michigan State Spartans,"East Lansing, MI",,
753,1999,pro,NBA,San Antonio Spurs,"San Antonio, TX",New York Knicks,New York Metro Area,Indiana Pacers,"Indianapolis Metro Area, IN",Portland Trail Blazers,"Portland Metro Area, OR"
754,1999,college,Basketball (W),Purdue Boilermakers,"West Lafayette, IN",Duke Blue Devils,"Greater Raleigh, NC",Louisiana Tech Bulldogs,"Monroe, LA",Georgia Bulldogs,"Athens, GA"
755,1999,pro,NHL,Dallas Stars,"Dallas-Fort Worth, TX",Buffalo Sabres,"Buffalo, NY",Colorado Avalanche,"Denver, CO",Toronto Maple Leafs,"Toronto, ON"
756,1999,college,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Florida State Seminoles,"Tallahassee, FL",Alabama Crimson Tide,"Tuscaloosa, AL",Stanford Cardinal,"San Francisco Bay Area, CA"
757,1999,pro,MLB,New York Yankees,New York Metro Area,Atlanta Braves,"Atlanta, GA",Boston Red Sox,"Greater Boston, MA",New York Mets,New York Metro Area
758,1999,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Calgary Stampeders,"Calgary, AB",BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC"
759,1999,pro,MLS,D.C. United,"Washington, DC Metro Area",D.C. United,"Washington, DC Metro Area",Dallas Burn,"Dallas-Fort Worth, TX",Columbus Crew,"Columbus, OH"
760,1999,college,Volleyball (W),Penn State Nittany Lions,"State College, PA",Stanford Cardinal,"San Francisco Bay Area, CA",Long Beach State 49ers,"Greater Los Angeles, CA",Pacific Tigers,"Stockton, CA"
761,1999,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Penn State Nittany Lions,"State College, PA",Santa Clara Broncos,"San Jose-Santa Clara, CA"
762,2000,college,Football (M),Florida State Seminoles,"Tallahassee, FL",,,,,,
763,2000,college,Football (M),Georgia Southern Eagles,"Statesboro, GA",Youngstown State Penguins,"Youngstown, OH",,,,
764,2000,pro,NFL,St. Louis Rams,"St. Louis, MO",Tennessee Titans,"Nashville, TN",Jacksonville Jaguars,"Jacksonville, FL",Tampa Bay Buccaneers,"Tampa Bay Area, FL"
765,2000,college,Basketball (M),Michigan State Spartans,"East Lansing, MI",Florida Gators,"Gainesville, FL",Wisconsin Badgers,"Madison, WI",North Carolina Tar Heels,"Greater Raleigh, NC"
766,2000,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Indiana Pacers,"Indianapolis Metro Area, IN",New York Knicks,New York Metro Area,Portland Trail Blazers,"Portland Metro Area, OR"
767,2000,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Rutgers Scarlet Knights,"New Brunswick, NJ",Penn State Nittany Lions,"State College, PA"
768,2000,college,Baseball (M),LSU Fighting Tigers,"Baton Rouge, LA",Stanford Cardinal,"San Francisco Bay Area, CA",Louisiana Ragin' Cajuns,"Lafayette, LA",Florida State Seminoles,"Tallahassee, FL"
769,2000,pro,NHL,New Jersey Devils,New York Metro Area,Dallas Stars,"Dallas-Fort Worth, TX",Colorado Avalanche,"Denver, CO",Philadelphia Flyers,"Greater Philadelphia, PA"
770,2000,pro,MLB,New York Yankees,New York Metro Area,New York Mets,New York Metro Area,Seattle Mariners,"Seattle,WA",St. Louis Cardinals,"St. Louis, MO"
771,2000,pro,MLS,Kansas City Wizards,"Kansas City, MO",Chicago Fire,"Chicago, IL",New York MetroStars,New York Metro Area,Los Angeles Galaxy,"Greater Los Angeles, CA"
772,2000,pro,CFL,BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC",Winnipeg Blue Bombers,"Winnipeg, MB",Calgary Stampeders,"Calgary, AB"
773,2000,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",UCLA Bruins,"Greater Los Angeles, CA",Notre Dame Fighting Irish,"Notre Dame, IN",Portland Pilots,"Portland Metro Area, OR"
774,2000,college,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Wisconsin Badgers,"Madison, WI",Hawaii Warriors,"Honolulu, HI",South Carolina Gamecocks,"Columbia, SC"
775,2001,college,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,
776,2001,college,Football (M),Georgia Southern Eagles,"Statesboro, GA",Montana Grizzlies,"Missoula, MT",,,,
777,2001,pro,NFL,Baltimore Ravens,"Baltimore, MD",New York Giants,New York Metro Area,Oakland Raiders,"San Francisco Bay Area, CA",Minnesota Vikings,"Twin Cities, MN"
778,2001,college,Basketball (M),Duke Blue Devils,"Greater Raleigh, NC",Arizona Wildcats,"Tucson, AZ",Maryland Terrapins,"Washington, DC Metro Area",Michigan State Spartans,"East Lansing, MI"
779,2001,college,Basketball (W),Notre Dame Fighting Irish,"Notre Dame, IN",Purdue Boilermakers,"West Lafayette, IN",Connecticut Huskies,"Hartford, CT",Missouri State Bears,"Springfield, MO"
780,2001,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",Milwaukee Bucks,"Milwaukee, WI",San Antonio Spurs,"San Antonio, TX"
781,2001,pro,NHL,Colorado Avalanche,"Denver, CO",New Jersey Devils,New York Metro Area,St. Louis Blues,"St. Louis, MO",Pittsburgh Penguins,"Pittsburgh, PA"
782,2001,college,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Stanford Cardinal,"San Francisco Bay Area, CA",Cal State Fullerton Titans,"Greater Los Angeles, CA",Tennessee Volunteers,"Knoxville, TN"
783,2001,pro,MLS,San Jose Earthquakes,"San Jose-Santa Clara, CA",Los Angeles Galaxy,"Greater Los Angeles, CA",Chicago Fire,"Chicago, IL",Miami Fusion,"Greater Miami Area, FL"
784,2001,pro,MLB,Arizona Diamondbacks,"Metro Phoenix, AZ",New York Yankees,New York Metro Area,Seattle Mariners,"Seattle,WA",Atlanta Braves,"Atlanta, GA"
785,2001,pro,CFL,Calgary Stampeders,"Calgary, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON"
786,2001,college,Soccer (W),Santa Clara Broncos,"San Jose-Santa Clara, CA",North Carolina Tar Heels,"Greater Raleigh, NC",Florida Gators,"Gainesville, FL",Portland Pilots,"Portland Metro Area, OR"
787,2001,college,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Long Beach State 49ers,"Greater Los Angeles, CA",Arizona Wildcats,"Tucson, AZ",Nebraska Cornhuskers,"Lincoln, NE"
788,2002,college,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,
789,2002,college,Football (M),Montana Grizzlies,"Missoula, MT",Furman Paladins,"Greenville, SC",,,,
790,2002,pro,NFL,New England Patriots,"Greater Boston, MA",St. Louis Rams,"St. Louis, MO",Pittsburgh Steelers,"Pittsburgh, PA",Philadelphia Eagles,"Greater Philadelphia, PA"
791,2002,college,Basketball (M),Maryland Terrapins,"Washington, DC Metro Area",Indiana Hoosiers,"Bloomington, IN",Kansas Jayhawks,"Lawrence, KS",Oklahoma Sooners,"Oklahoma City, OK"
792,2002,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",New Jersey Nets,New York Metro Area,Boston Celtics,"Greater Boston, MA",Sacramento Kings,"Sacramento, CA"
793,2002,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Oklahoma Sooners,"Oklahoma City, OK",Tennessee Volunteers,"Knoxville, TN",Duke Blue Devils,"Greater Raleigh, NC"
794,2002,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Carolina Hurricanes,"Greater Raleigh, NC",Colorado Avalanche,"Denver, CO",Toronto Maple Leafs,"Toronto, ON"
795,2002,college,Baseball (M),Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC",Stanford Cardinal,"San Francisco Bay Area, CA",Clemson Tigers,"Greenville, SC"
796,2002,pro,MLB,Anaheim Angels,"Greater Los Angeles, CA",San Francisco Giants,"San Francisco Bay Area, CA",Minnesota Twins,"Twin Cities, MN",St. Louis Cardinals,"St. Louis, MO"
797,2002,pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",New England Revolution,"Greater Boston, MA",Columbus Crew,"Columbus, OH",Colorado Rapids,"Denver, CO"
798,2002,pro,CFL,Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",Winnipeg Blue Bombers,"Winnipeg, MB",Toronto Argonauts,"Toronto, ON"
799,2002,college,Volleyball (W),South Carolina Gamecocks,"Columbia, SC",Stanford Cardinal,"San Francisco Bay Area, CA",Hawaii Warriors,"Honolulu, HI",Florida Gators,"Gainesville, FL"
800,2002,college,Soccer (W),Portland Pilots,"Portland Metro Area, OR",Santa Clara Broncos,"San Jose-Santa Clara, CA",North Carolina Tar Heels,"Greater Raleigh, NC",Penn State Nittany Lions,"State College, PA"
801,2003,college,Football (M),Western Kentucky Hilltoppers,"Bowling Green, KY",McNeese State Cowboys,"Lake Charles, LA",,,,
802,2003,college,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,
803,2003,pro,NFL,Tampa Bay Buccaneers,"Tampa Bay Area, FL",Oakland Raiders,"San Francisco Bay Area, CA",Tennessee Titans,"Nashville, TN",Philadelphia Eagles,"Greater Philadelphia, PA"
804,2003,college,Basketball (M),Syracuse Orange,"Syracuse, NY",Kansas Jayhawks,"Lawrence, KS",Texas Longhorns,"Austin, TX",Marquette Golden Eagles,"Milwaukee, WI"
805,2003,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Texas Longhorns,"Austin, TX",Duke Blue Devils,"Greater Raleigh, NC"
806,2003,pro,NBA,San Antonio Spurs,"San Antonio, TX",New Jersey Nets,New York Metro Area,Dallas Mavericks,"Dallas-Fort Worth, TX",Detroit Pistons,"Metro Detroit, MI"
807,2003,pro,NHL,New Jersey Devils,New York Metro Area,Mighty Ducks of Anaheim,"Greater Los Angeles, CA",Minnesota Wild,"Twin Cities, MN",Ottaw Senators,"Ottawa, ON"
808,2003,college,Baseball (M),Rice Owls,"Houston, TX",Stanford Cardinal,"San Francisco Bay Area, CA",Texas Longhorns,"Austin, TX",Cal State Fullerton Titans,"Greater Los Angeles, CA"
809,2003,pro,MLB,Florida Marlins,"Greater Miami Area, FL",New York Yankees,New York Metro Area,Boston Red Sox,"Greater Boston, MA",Chicago Cubs,"Chicago, IL"
810,2003,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON"
811,2003,pro,MLS,San Jose Earthquakes,"San Jose-Santa Clara, CA",Chicago Fire,"Chicago, IL",Kansas City Wizards,"Kansas City, MO",New England Revolution,"Greater Boston, MA"
812,2003,college,Volleyball (W),South Carolina Gamecocks,"Columbia, SC",Florida Gators,"Gainesville, FL",Hawaii Warriors,"Honolulu, HI",Minnesota Golden Gophers,"Twin Cities, MN"
813,2003,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Connecticut Huskies,"Hartford, CT",Florida State Seminoles,"Tallahassee, FL",UCLA Bruins,"Greater Los Angeles, CA"
814,2004,college,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,
815,2004,college,Football (M),Delaware Fightin' Blue Hens,"Newark, DE",Colgate Raiders,"Hamilton, NY",,,,
816,2004,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
817,2004,pro,NFL,New England Patriots,"Greater Boston, MA",Carolina Panthers,"Charlotte Metro Area, NC",Indianapolis Colts,"Indianapolis Metro Area, IN",Philadelphia Eagles,"Greater Philadelphia, PA"
818,2004,college,Basketball (M),Connecticut Huskies,"Hartford, CT",Georgia Tech Yellow Jackets,"Atlanta, GA",Duke Blue Devils,"Greater Raleigh, NC",Oklahoma State Cowboys,"Stillwater, OK"
819,2004,pro,NBA,Detroit Pistons,"Metro Detroit, MI",Los Angeles Lakers,"Greater Los Angeles, CA",Indiana Pacers,"Indianapolis Metro Area, IN",Minnesota Timberwolves,"Twin Cities, MN"
820,2004,college,Basketball (W),Connecticut Huskies,"Hartford, CT",Tennessee Volunteers,"Knoxville, TN",Minnesota Golden Gophers,"Twin Cities, MN",LSU Fighting Tigers,"Baton Rouge, LA"
821,2004,pro,NHL,Tampa Bay Lightning,"Tampa Bay Area, FL",Calgary Flames,"Calgary, AB",San Jose Sharks,"San Jose-Santa Clara, CA",Philadelphia Flyers,"Greater Philadelphia, PA"
822,2004,college,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",Texas Longhorns,"Austin, TX",Georgia Bulldogs,"Athens, GA",South Carolina Gamecocks,"Columbia, SC"
823,2004,pro,MLB,Boston Red Sox,"Greater Boston, MA",St. Louis Cardinals,"St. Louis, MO",New York Yankees,New York Metro Area,Houston Astros,"Houston, TX"
824,2004,pro,CFL,Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC",Saskatchewan Roughriders,"Regina, SK",Montreal Alouettes,"Montreal, QC"
825,2004,pro,MLS,D.C. United,"Washington, DC Metro Area",Kansas City Wizards,"Kansas City, MO",New England Revolution,"Greater Boston, MA",Los Angeles Galaxy,"Greater Los Angeles, CA"
826,2004,college,Volleyball (W),Stanford Cardinal,"San Francisco Bay Area, CA",Minnesota Golden Gophers,"Twin Cities, MN",South Carolina Gamecocks,"Columbia, SC",Washington Huskies,"Seattle,WA"
827,2004,college,Soccer (W),Notre Dame Fighting Irish,"Notre Dame, IN",UCLA Bruins,"Greater Los Angeles, CA",Princeton Tigers,"Princeton, NJ",Santa Clara Broncos,"San Jose-Santa Clara, CA"
828,2005,college,Football (M),James Madison Dukes,"Harrisonburg, VA",Montana Grizzlies,"Missoula, MT",,,,
829,2005,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
830,2005,pro,NFL,New England Patriots,"Greater Boston, MA",Philadelphia Eagles,"Greater Philadelphia, PA",Pittsburgh Steelers,"Pittsburgh, PA",Atlanta Falcons,"Atlanta, GA"
831,2005,college,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Illinois Fighting Illini,"Champaign-Urbana, IL",Michigan State Spartans,"East Lansing, MI",Louisville Cardinals,"Louisville, KY"
832,2005,pro,NBA,San Antonio Spurs,"San Antonio, TX",Detroit Pistons,"Metro Detroit, MI",Miami Heat,"Greater Miami Area, FL",Phoenix Suns,"Metro Phoenix, AZ"
833,2005,college,Basketball (W),Baylor Bears,"Waco, TX",Michigan State Spartans,"East Lansing, MI",LSU Fighting Tigers,"Baton Rouge, LA",Tennessee Volunteers,"Knoxville, TN"
835,2005,college,Baseball (M),Texas Longhorns,"Austin, TX",Florida Gators,"Gainesville, FL",Arizona State Sun Devils,"Metro Phoenix, AZ",Baylor Bears,"Waco, TX"
836,2005,pro,MLB,Chicago White Sox,"Chicago, IL",Houston Astros,"Houston, TX",Los Angeles Angels of Anaheim,"Greater Los Angeles, CA",St. Louis Cardinals,"St. Louis, MO"
837,2005,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC"
838,2005,pro,MLS,Los Angeles Galaxy,"Greater Los Angeles, CA",New England Revolution,"Greater Boston, MA",Chicago Fire,"Chicago, IL",Colorado Rapids,"Denver, CO"
839,2005,college,Volleyball (W),Washington Huskies,"Seattle,WA",Nebraska Cornhuskers,"Lincoln, NE",Santa Clara Broncos,"San Jose-Santa Clara, CA",Tennessee Volunteers,"Knoxville, TN"
840,2005,college,Soccer (W),Portland Pilots,"Portland Metro Area, OR",UCLA Bruins,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",Penn State Nittany Lions,"State College, PA"
841,2006,college,Football (M),Texas Longhorns,"Austin, TX",,,,,,
842,2006,college,Football (M),Appalachian State Mountaineers,"Boone, NC",Northern Iowa Panthers,"Cedar Falls, IA",,,,
843,2006,pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Seattle Seahawks,"Seattle,WA",Denver Broncos,"Denver, CO",Carolina Panthers,"Charlotte Metro Area, NC"
844,2006,college,Basketball (M),Florida Gators,"Gainesville, FL",UCLA Bruins,"Greater Los Angeles, CA",George Mason Patriots,"Washington, DC Metro Area",LSU Fighting Tigers,"Baton Rouge, LA"
845,2006,pro,NBA,Miami Heat,"Greater Miami Area, FL",Dallas Mavericks,"Dallas-Fort Worth, TX",Detroit Pistons,"Metro Detroit, MI",Phoenix Suns,"Metro Phoenix, AZ"
846,2006,college,Basketball (W),Maryland Terrapins,"Washington, DC Metro Area",Duke Blue Devils,"Greater Raleigh, NC",North Carolina Tar Heels,"Greater Raleigh, NC",LSU Fighting Tigers,"Baton Rouge, LA"
847,2006,college,Baseball (M),Oregon State Beavers,"Corvallis, OR",North Carolina Tar Heels,"Greater Raleigh, NC",Cal State Fullerton Titans,"Greater Los Angeles, CA",Rice Owls,"Houston, TX"
848,2006,pro,NHL,Carolina Hurricanes,"Greater Raleigh, NC",Edmonton Oilers,"Edmonton, AB",Mighty Ducks of Anaheim,"Greater Los Angeles, CA",Buffalo Sabres,"Buffalo, NY"
849,2006,pro,MLB,St. Louis Cardinals,"St. Louis, MO",Detroit Tigers,"Metro Detroit, MI",Oakland Athletics,"San Francisco Bay Area, CA",New York Mets,New York Metro Area
850,2006,pro,MLS,Houston Dynamo,"Houston, TX",New England Revolution,"Greater Boston, MA",Colorado Rapids,"Denver, CO",D.C. United,"Washington, DC Metro Area"
851,2006,pro,CFL,BC Lions,"Vancouver, BC",Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON"
852,2006,college,Volleyball (W),Nebraska Cornhuskers,"Lincoln, NE",Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA",Washington Huskies,"Seattle,WA"
853,2006,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Florida State Seminoles,"Tallahassee, FL",UCLA Bruins,"Greater Los Angeles, CA"
854,2007,college,Football (M),Florida Gators,"Gainesville, FL",,,,,,
855,2007,college,Football (M),Appalachian State Mountaineers,"Boone, NC",Massachusetts Minutemen,"Springfield, MA",,,,
856,2007,pro,NFL,Indianapolis Colts,"Indianapolis Metro Area, IN",Chicago Bears,"Chicago, IL",New England Patriots,"Greater Boston, MA",New Orleans Saints,"New Orleans, LA"
857,2007,college,Basketball (M),Florida Gators,"Gainesville, FL",Ohio State Buckeyes,"Columbus, OH",UCLA Bruins,"Greater Los Angeles, CA",Georgetown Hoyas,"Washington, DC Metro Area"
858,2007,pro,NBA,San Antonio Spurs,"San Antonio, TX",Cleveland Cavaliers,"Cleveland, OH",Detroit Pistons,"Metro Detroit, MI",Utah Jazz,"Salt Lake City, UT"
859,2007,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Rutgers Scarlet Knights,"New Brunswick, NJ",North Carolina Tar Heels,"Greater Raleigh, NC",LSU Fighting Tigers,"Baton Rouge, LA"
860,2007,college,Baseball (M),Oregon State Beavers,"Corvallis, OR",North Carolina Tar Heels,"Greater Raleigh, NC",California-Irvine Anteaters,"Greater Los Angeles, CA",Rice Owls,"Houston, TX"
861,2007,pro,NHL,Anaheim Ducks,"Greater Los Angeles, CA",Ottawa Senators,"Ottawa, ON",Detroit Red Wings,"Metro Detroit, MI",Buffalo Sabres,"Buffalo, NY"
862,2007,pro,MLB,Boston Red Sox,"Greater Boston, MA",Colorado Rockies,"Denver, CO",Cleveland Indians,"Cleveland, OH",Arizona Diamondbacks,"Metro Phoenix, AZ"
863,2007,pro,CFL,Saskatchewan Roughriders,"Regina, SK",Winnipeg Blue Bombers,"Winnipeg, MB",Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC"
864,2007,pro,MLS,Houston Dynamo,"Houston, TX",New England Revolution,"Greater Boston, MA",Kansas City Wizards,"Kansas City, MO",Chicago Fire,"Chicago, IL"
865,2007,college,Soccer (W),South Carolina Gamecocks,"Columbia, SC",Florida State Seminoles,"Tallahassee, FL",Notre Dame Fighting Irish,"Notre Dame, IN",UCLA Bruins,"Greater Los Angeles, CA"
866,2007,college,Volleyball (W),Penn State Nittany Lions,"State College, PA",Stanford Cardinal,"San Francisco Bay Area, CA",California Golden Bears,"San Francisco Bay Area, CA",South Carolina Gamecocks,"Columbia, SC"
867,2008,college,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,
868,2008,college,Football (M),Appalachian State Mountaineers,"Boone, NC",Delaware Fightin' Blue Hens,"Newark, DE",,,,
869,2008,pro,NFL,New York Giants,New York Metro Area,New England Patriots,"Greater Boston, MA",San Diego Chargers,"San Diego, CA",Green Bay Packers,"Green Bay, WI"
870,2008,college,Basketball (M),Kansas Jayhawks,"Lawrence, KS",,,North Carolina Tar Heels,"Greater Raleigh, NC",UCLA Bruins,"Greater Los Angeles, CA"
871,2008,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",San Antonio Spurs,"San Antonio, TX"
872,2008,college,Basketball (W),Tennessee Volunteers,"Knoxville, TN",Stanford Cardinal,"San Francisco Bay Area, CA",LSU Fighting Tigers,"Baton Rouge, LA",Connecticut Huskies,"Hartford, CT"
873,2008,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Pittsburgh Penguins,"Pittsburgh, PA",Dallas Stars,"Dallas-Fort Worth, TX",Philadelphia Flyers,"Greater Philadelphia, PA"
874,2008,college,Baseball (M),Fresno State Bulldogs,"Fresno, CA",Georgia Bulldogs,"Athens, GA",Stanford Cardinal,"San Francisco Bay Area, CA",North Carolina Tar Heels,"Greater Raleigh, NC"
875,2008,pro,MLB,Philadelphia Phillies,"Greater Philadelphia, PA",Tampa Bay Rays,"Tampa Bay Area, FL",Boston Red Sox,"Greater Boston, MA",Los Angeles Dodgers,"Greater Los Angeles, CA"
876,2008,pro,CFL,Calgary Stampeders,"Calgary, AB",Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",BC Lions,"Vancouver, BC"
877,2008,pro,MLS,Columbus Crew,"Columbus, OH",New York Red Bulls,New York Metro Area,Real Salt Lake,"Salt Lake City, UT",Chicago Fire,"Chicago, IL"
878,2008,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Notre Dame Fighting Irish,"Notre Dame, IN",Stanford Cardinal,"San Francisco Bay Area, CA",UCLA Bruins,"Greater Los Angeles, CA"
